"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000237640.1",7.55892463052147,0.23007011543235,0.150855394871329,1.52510366386689,0.127233243518694,0.15025778858176,"AC004522.3"
"ENSG00000237649.8",2003.67473226533,3.16993189445514,0.109373070829759,28.9827456649652,1.08567833805707e-184,3.48223991267357e-182,"KIFC1"
"ENSG00000237651.6",22.0145614995482,-0.753226249430092,0.0952718220111739,-7.90607583154807,2.65629403372256e-15,7.95748313648932e-15,"C2orf74"
"ENSG00000237667.7",40.698539949423,0.460836482159306,0.313181316748828,1.47146862700273,0.141164425928961,0.165769723403121,"LINC01115"
"ENSG00000237672.1",15.9198819742809,0.225809613917016,0.16187961032143,1.39492313743927,0.163039019072002,0.189748510232125,"KRR1P1"
"ENSG00000237686.7",139.149895668759,-0.160216227240959,0.174104890219653,-0.920228185657668,0.357453528172371,0.394135440452069,"AL109615.3"
"ENSG00000237702.2",15.8935327918138,0.926812519172292,0.177531418984307,5.22055489937935,1.78387814303798e-07,3.44959652313887e-07,"TRBV3-1"
"ENSG00000237719.1",9.78896621679619,-0.0492341073359682,0.178999270044277,-0.275052000624302,0.78327628766605,0.804564101257355,"Z95152.1"
"ENSG00000237729.2",8.79333951982329,0.0530054687069653,0.105849216423005,0.500763921530979,0.616537279652802,0.650089397270513,"AC002075.2"
"ENSG00000237732.9",7.86830412902595,-0.0572905173765749,0.219515135961548,-0.260986638236237,0.79410281140914,0.814416032009504,"CT75"
"ENSG00000237742.7",12.5624739150428,-0.675136484936644,0.20244470794155,-3.33491792302898,0.000853245795410039,0.00126455129279159,"AL365259.1"
"ENSG00000237748.1",9.76223720372607,0.789801391898707,0.12486066862356,6.325461817603,2.52476332943414e-10,5.8129069380269e-10,"UQCRBP1"
"ENSG00000237749.4",10.4860101624252,-0.00818793452342927,0.103182837552127,-0.0793536475413633,0.936751336225554,0.94499290059986,"AL034379.1"
"ENSG00000237751.2",12.1411978954127,1.025953061245,0.240081530202919,4.27335272470922,1.92555485251933e-05,3.24250049127679e-05,"LINC01143"
"ENSG00000237753.2",92.8598996805649,0.708794608757116,0.0809899265665313,8.75163910878297,2.10275932663365e-18,7.21436724741971e-18,"AC079922.2"
"ENSG00000237757.2",9.81420329988528,-0.241479444233512,0.130349747864515,-1.8525501444353,0.0639468639614378,0.0784381817118722,"EEF1A1P30"
"ENSG00000237758.1",11.7192060668439,0.88858490025801,0.129543376181977,6.85936190986534,6.91688033375802e-12,1.73966466802741e-11,"BANF1P3"
"ENSG00000237765.8",509.832954605115,-0.266568442725096,0.0544601762528292,-4.89474072738146,9.84354170992672e-07,1.81507506591913e-06,"FAM200B"
"ENSG00000237766.2",6.24098577487917,0.063334605589666,0.136342080429981,0.464527205320091,0.642270072773242,0.674913896368393,"GGTA2P"
"ENSG00000237772.2",8.10018235306512,0.511641704626872,0.139242978660511,3.67445245389577,0.000238360023754031,0.000369963063288119,"LINC02631"
"ENSG00000237773.7",34.1845994862354,-0.806601177265795,0.112431871051917,-7.17413283012371,7.27669344956371e-13,1.92888450999994e-12,"AC073332.1"
