"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-201681","TCF dependent signaling in response to WNT","45/1376","189/9724",0.238095238095238,1.68258582502769,3.84721057870454,0.000233549049766616,0.00232922072451807,0.00232922072451807,"H4C9/H4C12/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/WNT3A/H2BC11/H2AC20/H4C14/H2BC7/FZD2/H2BC17/PSMB3/H2AC18/H4C5/KREMEN2/RUVBL1/H2AC6/PSMD3/H4C8/LEF1/H2BC5/H3C8/DKK1/BCL9/H2BC8/H2AX/H2BC15/RSPO4/H4C4/H2AC8/H3C6/TLE3/H3C10/SOX2/TERT/H4C11/H2BC13/H2AC19/H2AJ/H2BC12",45
"R-HSA-453279","Mitotic G1 phase and G1/S transition","35/1376","138/9724",0.253623188405797,1.79231968318166,3.80574263430846,0.000318948518336863,0.00315971665499052,0.00315971665499052,"MCM2/CCNA2/CDC7/CDC6/PTK6/PCNA/MYBL2/CCNE1/ORC1/CDKN2D/PSMB3/CDC45/E2F1/CCNE2/TYMS/CDK1/MCM4/RRM2/POLE2/CDKN2A/PSMD3/E2F5/TOP2A/CDC25A/MCM10/E2F2/CDT1/CCND1/POLA2/MCM6/DBF4/TK1/ORC6/CCNB1/LIN9",35
"R-HSA-1474244","Extracellular matrix organization","65/1376","305/9724",0.213114754098361,1.50605223027068,3.64553274963493,0.000357758439910497,0.00352072213050992,0.00352072213050992,"TNR/MMP1/COL8A1/CAPN13/FBN2/COL26A1/COL1A2/ADAMTS14/COL9A1/HAPLN1/P4HA3/ADAM19/TLL2/SCUBE3/LOXL1/SPP1/COL10A1/ADAM8/MMP13/COL9A3/COL1A1/ASPN/COL3A1/P4HA1/MMP25/CAPN8/VTN/CTSD/DRP2/SDC1/ACAN/TMPRSS6/COL11A1/ITGAL/ADAM12/CAPN9/FGB/TIMP1/MMP12/MMP11/FBN3/IBSP/MMP14/COL2A1/COL22A1/MMP9/FGG/VCAN/COL13A1/MMP10/COMP/BGN/COL6A5/MFAP2/FN1/MMP8/PRSS2/COL12A1/MATN3/COL24A1/MMP3/CEACAM6/COL5A1/COL5A2/ACTA1",65
"R-HSA-69242","S Phase","37/1376","150/9724",0.246666666666667,1.74315891472868,3.72390633929321,0.000393481398440051,0.00384679840843365,0.00384679840843365,"MCM2/ANAPC11/CCNA2/GINS1/CDCA5/ESCO2/CDC6/PTK6/PCNA/CCNE1/ORC1/GINS4/PSMB3/CDC45/UBE2C/E2F1/CCNE2/UBE2S/MCM4/POLE2/DNA2/RFC2/LIG1/RFC4/PSMD3/RAD21/E2F5/CDC25A/CDT1/CCND1/POLA2/FEN1/GINS2/MCM6/CDC25B/ORC6/LIN9",37
"R-HSA-9927426","Developmental Lineage of Mammary Gland Alveolar Cells","8/1376","15/9724",0.533333333333333,3.76899224806202,4.35710733350884,0.000400827637247055,0.00389300567940604,0.00389300567940604,"ANKRD30A/ESR1/KRT19/KRT18/MUC1/CD24/EPCAM/KRT8",8
"R-HSA-1474290","Collagen formation","25/1376","89/9724",0.280898876404494,1.98507316435851,3.79014453201211,0.000437656675432954,0.00422310272528162,0.00422310272528162,"COL8A1/COL26A1/COL1A2/ADAMTS14/COL9A1/P4HA3/TLL2/LOXL1/COL10A1/MMP13/COL9A3/COL1A1/COL3A1/P4HA1/COL11A1/COL2A1/COL22A1/MMP9/COL13A1/COL6A5/COL12A1/COL24A1/MMP3/COL5A1/COL5A2",25
"R-HSA-9820448","Developmental Cell Lineages of the Exocrine Pancreas","20/1376","65/9724",0.307692307692308,2.17441860465116,3.85684030912995,0.000443557591273721,0.00425242955246935,0.00425242955246935,"COL1A2/CEL/NKX6-1/BHLHA15/COL1A1/COL3A1/VTN/PNLIPRP2/GP2/COL11A1/KRT19/COL2A1/SHH/GATA4/FN1/CPB1/COL24A1/CXCR4/COL5A1/COL5A2",20
"R-HSA-176974","Unwinding of DNA","7/1376","12/9724",0.583333333333333,4.12233527131783,4.39373602334456,0.00046141720798297,0.00439529468629931,0.00439529468629931,"MCM2/GINS1/GINS4/CDC45/MCM4/GINS2/MCM6",7
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","19/1376","61/9724",0.311475409836066,2.20115325962638,3.82054651488772,0.000515671127384369,0.00487857994952034,0.00487857994952034,"COL8A1/COL1A2/COL9A1/TLL2/LOXL1/COL10A1/MMP13/COL9A3/COL1A1/COL3A1/COL11A1/COL2A1/MMP9/COL6A5/COL12A1/COL24A1/MMP3/COL5A1/COL5A2",19
"R-HSA-5693579","Homologous DNA Pairing and Strand Exchange","15/1376","43/9724",0.348837209302326,2.4651838831801,3.90916849658221,0.000518718460312392,0.00487857994952034,0.00487857994952034,"BLM/RAD51/RAD51AP1/BRCA2/EXO1/BARD1/DNA2/RFC2/RFC4/RMI1/CHEK1/BRCA1/XRCC2/BRIP1/RMI2",15
