"pathway","pval","padj","log2err","ES","NES","size","pathway_label"
"KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_PROPHASE",0.00216864773314665,0.0115661212434488,0.431707695803346,0.661419536012484,1.8373645420557,16,"Reference Cohesin Dissociation in Prophase"
"KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT",0.00461718682020747,0.0235056783574198,0.407017918923954,0.569617987311773,1.75706619090811,23,"Reference Anterograde Axonal Transport"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.00454775675770638,0.0235056783574198,0.407017918923954,0.571645815453591,1.76332130986209,23,"Variant Mutation Caused Aberrant Abeta to Anterograde Axonal Transport"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.00551218429053801,0.0274384284684559,0.407017918923954,0.559238561068206,1.73449666054964,24,"Pathogen Salmonella Sifa to Microtubule Plus End Directed Transport"
"KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING",0.00584601188912238,0.0284675361557264,0.407017918923954,0.597533786161964,1.75358726642482,20,"Reference Condensin Loading"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.00614309989791849,0.0292777527049732,0.407017918923954,0.613161169283084,1.76314870633737,18,"Env Factor Iron to Anterograde Axonal Transport"
"KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION",0.00636713856892124,0.0297133133216325,0.407017918923954,0.546552844514444,1.72960616716827,27,"Reference Core Ner Reaction"
"KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE",0.00727738252158561,0.0332680343843914,0.407017918923954,0.512988815649141,1.66702017338811,30,"Reference Dynein Recruitment to the Kinetochore"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_DCTN1_TO_RETROGRADE_AXONAL_TRANSPORT",0.00932146803267841,0.0417601767863993,0.380730400722792,0.601353347222702,1.70666310228023,17,"Variant Mutation Caused Aberrant Dctn1 to Retrograde Axonal Transport"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPG_TO_MICROTUBULE_RHOA_SIGNALING_PATHWAY",0.0120233205175511,0.052808309724146,0.380730400722792,0.603876875464691,1.67751615780104,16,"Pathogen Escherichia Espg to Microtubule Rhoa Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.0125686564074733,0.0541419045245002,0.380730400722792,0.472342496225424,1.59979738769793,34,"Reference Arl8 Regulated Microtubule Plus End Directed Transport"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I",0.01331302836651,0.0562663840395896,0.380730400722792,0.426992199549501,1.56121675284234,51,"Variant Mutation Caused Aberrant Abeta to Electron Transfer in Complex i"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0139990132971776,0.0580699810845886,0.380730400722792,0.519470182918175,1.62709259313365,25,"Variant Mutation Caused Aberrant Htt to Anterograde Axonal Transport"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I",0.0148252526288065,0.060379210706412,0.380730400722792,0.425127427854163,1.50125346038686,45,"Variant Mutation Caused Aberrant Tdp43 to Electron Transfer in Complex i"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.0172493384718764,0.0689973538875057,0.352487857583619,0.579426248650688,1.64443318330539,17,"Pathogen Escherichia Eae Tir to Actin Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.0193542380202484,0.0744110594301857,0.352487857583619,0.506489732044368,1.5864350228499,25,"Reference Arno Arf Actb g Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_CX3CR1_GNAI_AC_PKA_SIGNALING_PATHWAY",0.0199236479348095,0.0744110594301857,0.352487857583619,-0.578315040106332,-1.70849237443792,15,"Reference Cx3cr1 Gnai Ac Pka Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY",0.0199315337759426,0.0744110594301857,0.352487857583619,-0.399196158209196,-1.52590615673643,42,"Reference Gpcr Plcb Itpr Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_LGR_RSPO",0.0197952503739305,0.0744110594301857,0.352487857583619,-0.534717018496558,-1.67017575253269,18,"Reference Wnt Signaling Modulation Lgr Rspo"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0230471842494759,0.0846322831456164,0.352487857583619,0.508345938641589,1.57665153006191,24,"Variant Mutation Caused Aberrant Snca to Anterograde Axonal Transport"
"KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY",0.0239025936187153,0.0863577575901971,0.352487857583619,0.537864010472455,1.6113309210366,21,"Reference Vgcc Ca2 Apoptotic Pathway"
"KEGG_MEDICUS_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR",0.0294191464320135,0.104601409536048,0.352487857583619,-0.548302122172586,-1.64977884055301,16,"Reference Autophagosome and Lysosome Fusion Tethering Factor"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0332767227293553,0.114676706021163,0.321775918075361,0.55210504955931,1.58758145926134,18,"Env Factor Zn to Anterograde Axonal Transport"
"KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY",0.032948873244337,0.114676706021163,0.321775918075361,0.521861263919109,1.56338995484281,21,"Reference Egf Egfr Actin Signaling Pathway"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.0343930919967507,0.116728069807154,0.321775918075361,0.469746055721663,1.52148896011543,29,"Pathogen Shigella Ipgd to Arno Arf Actb g Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY",0.0359677356038025,0.120250339929131,0.321775918075361,-0.416862414808836,-1.4761575508714,30,"Reference Itga b Talin Vinculin Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY",0.0374680991415259,0.12342432658385,0.321775918075361,-0.423207817644465,-1.47698691459107,27,"Reference Prnp Pi3k Nox2 Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I",0.0396196513470681,0.128620317416569,0.287857117255149,0.418013569733585,1.46969549125384,44,"Reference Electron Transfer in Complex i"
"KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CALCINEURIN_SIGNALING_PATHWAY",0.0417596283328818,0.129918843702299,0.321775918075361,-0.53704051355612,-1.58655673559199,15,"Reference Egf Egfr Plcg Calcineurin Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY",0.0408816135046294,0.129918843702299,0.321775918075361,-0.432978707898373,-1.46820003406194,25,"Reference Il6 Family to Jak Stat Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",0.0415421785308819,0.129918843702299,0.321775918075361,-0.304686043892341,-1.31715934646412,79,"Reference Translation Initiation"
"KEGG_MEDICUS_REFERENCE_PROMOTION_OF_MICROTUBULE_GROWTH",0.0426929392446634,0.131002991654858,0.282013350011725,0.502797925019614,1.50628007794293,21,"Reference Promotion of Microtubule Growth"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",0.0484032627835351,0.146517984642052,0.321775918075361,-0.47078825736138,-1.50343320267035,19,"Env Factor Tcdd to Ahr Signaling Pathway"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.0551948051948052,0.164848484848485,0.245041785430996,0.451972258186462,1.46873937447387,30,"Pathogen Salmonella Sopb to Arno Arf Actb g Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL",0.0596026490066225,0.175670965493203,0.237793834423688,0.507151466302691,1.48834153658387,20,"Reference Ca2 Entry Voltage Gated Ca2 Channel"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_RHOA_SIGNALING_PATHWAY",0.0612582781456954,0.175974432749157,0.234392647294686,0.505514217415657,1.4835366889472,20,"Reference Microtubule Rhoa Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY",0.0612768114037245,0.175974432749157,0.321775918075361,-0.410119244468944,-1.41143053051864,26,"Reference Tlr2 4 Mapk Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_RETROGRADE_AXONAL_TRANSPORT",0.0626959247648903,0.177770723383993,0.224966093540314,0.40440453684109,1.40557747111339,41,"Reference Retrograde Axonal Transport"
"KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY",0.0645161290322581,0.178645484416372,0.224966093540314,0.433556145955061,1.43981711942867,32,"Reference Tight Junction Actin Signaling Pathway"
"KEGG_MEDICUS_VARIANT_MLL_AF4_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION",0.0645994832041344,0.178645484416372,0.287857117255149,-0.407994451829698,-1.40411802996546,26,"Variant Mll Af4 Fusion to Transcriptional Activation"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_TRANSPORT_OF_CALCIUM",0.066334991708126,0.181207782227076,0.224966093540314,0.512713171962202,1.47430987341264,18,"Variant Mutation Caused Aberrant Htt to Transport of Calcium"
"KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119",0.0737833594976452,0.197530864197531,0.206587922696891,0.413096686183523,1.41216462226606,37,"Reference Gene Silencing by Methylation of H3k27 and Ubiquitination of H2ak119"
"KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY",0.0740740740740741,0.197530864197531,0.261663521711573,-0.491110599170028,-1.45086787563636,15,"Variant Notch Overexpression to Notch Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_DNA_END_RESECTION_AND_RPA_LOADING",0.0783333333333333,0.20643137254902,0.206587922696891,0.518842362711709,1.47249386808858,17,"Reference Dna End Resection and Rpa Loading"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY",0.0827814569536424,0.211775174254783,0.199915231309662,0.479195015334338,1.40629751234982,20,"Pathogen Salmonella Sope to Rac Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES",0.0831973898858075,0.211775174254783,0.197822021315103,0.454793374833348,1.42451088807566,25,"Reference Activation of Prc2.2 by Ubiquitination of H2ak119 in Germline Genes"
"KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT",0.0828125,0.211775174254783,0.193813302725311,0.39097587934127,1.36645951488214,42,"Reference Rab7 Regulated Microtubule Minus End Directed Transport"
"KEGG_MEDICUS_REFERENCE_N_GLYCAN_BIOSYNTHESIS",0.0893760539629005,0.22494647289539,0.193813302725311,0.520177432453027,1.4450065622929,16,"Reference n Glycan Biosynthesis"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I",0.0904761904761905,0.225185185185185,0.186432558434075,0.384344539537545,1.35723675339873,45,"Variant Mutation Inactivated Pink1 to Electron Transfer in Complex i"
